Sample,"Mannose, 6-deoxy-2,3,4,5-tetrakis-O-(trimethylsilyl)-, L- (ng/mgDW)","D-Arabinopyranose, tetrakis(trimethylsilyl) ether (isomer 1)a (ng/mgDW)","D-Arabinopyranose, tetrakis(trimethylsilyl) ether (isomer 1)b (ng/mgDW)","L-(+)-Rhamnopyranose, tetrakis(trimethylsilyl) ether (ng/mgDW)","d-(+)-Xylose, tetrakis(trimethylsilyl) ether_a (ng/mgDW)","d-(+)-Xylose, tetrakis(trimethylsilyl) ether_b (ng/mgDW)","D-(+)-Galactopyranose, pentakis(trimethylsilyl) ether (isomer 1) (ng/mgDW)","D-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-a (ng/mgDW)","Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-, D-a (ng/mgDW)","L(-)-Fucose, tetrakis(trimethylsilyl) ether (ng/mgDW)","Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-, D-b (ng/mgDW)","Glucopyranose, 1,2,3,4,6-pentakis-O-(trimethylsilyl)-, D- (ng/mgDW)",".beta.-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)- (ng/mgDW)","D-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-b (ng/mgDW)"
L3,2725.8561,2111.7588,3867.7323,1598.1519,8289.1802,6951.8753,1241.8621,1258.1763,1898.108,353.6359,404.1401,578.517,1837.3137,1234.0681
L4,976.9877,3021.2819,6108.1208,1604.7759,9531.901,7688.7216,1217.4525,1189.9374,2941.2985,345.8991,778.426,1058.281,3374.6216,2238.9342
L5,4227.8824,3337.7381,6825.8712,1622.7639,18170.9729,15749.2981,1315.2893,1951.2406,4503.6252,947.031,986.9051,1174.2637,3727.5864,2654.2676
L8,4420.6816,1323.9867,1500.4293,2113.654,10974.8699,3253.5492,1732.3578,2354.9516,2635.3161,1094.5469,1131.8313,1412.5451,4405.2801,1668.8095
L9,776.0712,3267.2391,4251.3942,1313.0239,12768.9873,10444.1509,1795.907,2574.896,3225.5836,515.7829,695.2967,954.6103,3037.9401,1760.4108
L11,3215.3209,3573.7992,4311.4706,1819.6147,16346.1454,13234.3753,1901.791,3251.3935,3888.0249,684.1404,794.2461,1101.283,3491.2655,2259.9663
L12,4764.728,1025.4382,3431.3947,2986.2675,12572.4637,11249.9748,2517.1858,2776.5297,2678.4054,1538.3852,1270.4763,1866.6915,5928.933,1820.3721
L16,1949.668,2948.5286,6132.7884,2917.743,18136.448,16799.5886,1919.8846,3838.2875,3990.7584,1721.9848,1256.1147,1612.6722,5122.1241,2735.4044
L19,918.0975,5013.5842,5106.395,1089.5177,14758.8767,11803.5458,1399.3945,1978.164,4009.3043,395.3975,575.3774,820.2127,2604.4277,2126.2819
L20,1081.2291,5309.6167,4955.9446,1908.7898,16357.0245,14345.9606,1879.7393,3066.0061,5196.6502,713.4756,834.2031,1080.2603,3431.0925,2785.9408
L21,5361.4907,5164.998,5735.7544,2256.4127,22345.5137,18706.2415,2250.2555,3918.6942,4368.1885,1564.5327,1331.5451,1813.2819,5758.0014,3057.6151
L30,1430.188,5706.8747,6863.9474,2411.3303,22863.3335,16440.3313,2573.9648,5230.3834,4292.2506,1553.0742,1320.7393,1631.6466,5175.3423,3637.5251
L31,4407.5267,6584.2552,7060.6542,2150.3756,26469.1026,21722.8634,1660.3498,4439.6651,6457.758,1379.1838,1469.5274,1994.0743,6340.0788,4154.0679
S3,5291.0837,3093.1501,7532.2972,16791.1955,25237.1399,23565.3491,588.1389,2517.6025,1755.2384,469.1056,636.0314,818.0907,2654.4326,2144.4497
S4,511.6908,4426.4558,9911.1397,24846.1783,22865.7155,5906.0217,660.2508,1846.5741,1801.0194,469.3064,767.7847,742.7905,2320.45,1879.0881
S5,6118.5526,5647.5267,12249.605,21110.1765,32073.8436,27940.4666,708.664,3789.5173,1997.1351,718.8834,1030.8274,1415.7679,4498.6632,3165.1209
S8,6584.6798,2227.5835,7911.2152,1138.9473,27512.3856,27290.8995,833.1374,3597.6465,1344.6326,645.4185,844.9433,1258.2072,3995.873,2447.392
S9,4275.9529,6237.4231,9393.5509,20337.842,31295.3884,27183.2176,417.083,1716.24,815.2888,706.7308,936.6568,1122.4269,3565.0208,2906.5995
S11,6619.0689,4105.4536,10063.2202,18961.8507,31016.3273,28019.4888,330.9986,2182.6583,827.4429,800.8832,1190.6365,1652.2535,5247.8943,3548.5833
S12,4620.2451,4545.9803,8759.1566,16653.0206,24372.475,23464.0218,387.6102,1124.944,1281.851,424.2597,504.8191,688.5547,2185.1065,1769.0075
S16,5989.5137,5800.6541,12207.3308,21621.2563,35137.1178,32023.6647,395.9458,1540.7647,1044.1043,612.4656,1098.8166,1393.9991,4427.1244,3392.1032
S19,3232.8617,4231.9317,9885.1179,26874.7385,26476.9082,22779.2183,190.3847,503.8021,790.9098,186.3613,726.6225,255.4845,819.0334,641.4213
S20,7718.4614,6893.0755,12764.1458,27478.2238,39120.2272,33376.9464,333.5396,1022.7682,1424.4132,477.3518,559.4255,726.8922,2308.7347,1879.975
S21,5884.478,5648.1436,12109.3949,35836.254,37789.1819,33960.467,415.0906,2110.9283,1610.4995,500.5281,828.4077,958.3508,3039.785,2416.9183
S30,3617.6115,6559.7714,13706.0596,37265.9392,34970.3732,32815.702,395.0062,1465.2258,1176.3096,348.0835,822.0509,610.9958,1941.8866,1548.2858
S31,4901.4414,7819.6805,13469.2637,45687.04,39463.8774,36893.3179,535.3546,1103.5598,1354.7018,278.0877,715.5992,528.2247,1678.2206,1368.2589
R3,6626.6456,14657.6659,15065.5315,74817.5015,60427.3764,57117.4695,13218.6088,13657.2404,19802.0544,17796.2947,2625.5707,4565.6435,14491.8387,10123.1243
R4,11269.0131,10791.5548,22790.6995,67539.1681,57726.0759,52220.5635,9660.8339,11119.884,15085.0689,1561.3525,2671.6119,5089.3348,15951.2609,8853.3472
R5,10739.941,12761.698,18869.7382,57359.2659,55056.839,55626.4696,9957.6272,11614.8538,13342.6021,1581.4217,1931.9915,4847.9828,15393.2931,7879.9726
R8,5053.2627,13948.7577,11435.4704,67734.0073,50751.2852,50475.3464,10588.6104,5439.8191,15817.7938,11790.372,3269.7142,2002.1117,6405.2734,5102.1998
R9,7906.1558,14372.6935,21500.5534,69445.0772,52981.8033,52046.0055,12560.2336,11878.4316,17526.8805,22516.491,2167.8693,4678.6738,14858.8883,8654.9742
R11,9283.5354,13148.3921,15581.7947,78494.4942,69305.3605,67398.1422,9856.0967,13642.1941,15969.5311,2239.8038,3105.8256,6585.9259,20913.8648,9760.0363
R12,9826.68,11830.3676,19690.3235,62818.0948,54242.6161,49596.8162,8356.0704,7154.3671,7774.972,1460.7865,2031.7092,3771.4271,11976.6681,7721.2866
R16,8768.8648,8671.3288,18472.8972,47627.8532,40665.3798,39596.7941,9191.0825,3899.3544,5745.1656,3569.6048,1239.599,2041.8559,6493.5138,5013.4542
R19,8614.6913,6779.6703,14260.4948,30918.3873,37327.5564,20789.5634,6385.2376,4950.886,4168.9909,2694.5217,966.1325,1781.3752,5652.0386,3743.253
R20,12963.7621,8380.9652,18671.474,57978.5277,55977.9738,55086.0108,8668.438,8212.8258,9369.7433,1305.589,1420.0967,2508.7982,7968.1542,5787.2741
R21,7226.6556,14596.3907,12184.7311,83668.3078,64658.6529,54438.7101,10048.0694,12325.8969,6954.0202,4506.2657,4681.3585,3080.2584,9775.9384,7188.7327
R30,13156.7823,9308.1109,18315.986,50973.7652,50660.804,32776.737,4105.3539,7223.031,9534.3518,7581.0335,1422.1119,3454.6149,11017.7269,6219.5638
R31,12641.8175,11557.25,22442.7703,77953.4729,61873.0711,46073.6426,12955.861,11925.6835,12810.5348,8824.3315,5575.0208,3752.8265,11919.5633,8043.7675
