Sample,mass (mg/gDW)
R3,1.305555556
R4,2.010526316
R5,1.427480916
R8,1.35971223
R9,1.989247312
R11,0.67896679
R12,0.812765957
R16,0.734848485
R19,1.294520548
R20,1.14375
R21,1.010638298
R30,1.358778626
R31,0.824267782
S3,0.39957265
S4,0.433179724
S5,0.547987616
S8,0.339857651
S9,0.593650794
S11,0.348880597
S12,0.337686567
S16,0.629032258
S19,0.692857143
S20,0.490654206
S21,0.532608696
S30,0.547008547
S31,0.378378378
L3,0.840336134
L4,0.937198068
L5,0.706293706
L8,0.836820084
L9,0.714285714
L11,0.705882353
L12,0.909090909
L16,0.751824818
L19,0.775193798
L20,0.692307692
L21,0.975609756
L30,0.95045045
L31,1.143646409
